标题	年份	类型	国家	时长	评分	人数	概括	链接
逐冰之旅 Chasing Ice	2012	纪录片	美国	75	8.7	1371	　　影片纪录了《国家地理》杂志摄影师詹姆斯·巴洛格长达数年的南极冰川考察之旅。曾经一度巴洛格对于全球气候变暖的说法半信半疑，但这次考察改变了他的看法，通过他的摄像机镜头纪录，让我们意识到我们的星球已经面目全非、越发虚弱。巴洛格在一个由年轻人组成的探险团队的帮助下，通过直升机，木艇、雪橇等交通工具，跨越三个大洲旅行，为我们带来了震撼视觉和人心的影像和拷问。	http://movie.douban.com/subject/5158101/	
杀戮演绎 The Act of Killing	2012	纪录片/历史/犯罪	丹麦 / 挪威 / 英国	115	8.2	2872	　　1965年，印尼政府被军政府推翻，那些反对军事独裁的人都被认定为“共产党人”，并遭遇了血腥屠杀，一年之内，就有超过100万“共产党人”丧命，其中就包括农民还有一些当地的华人。本片的主角Anwar Congo和他的朋友们就参与了当年的屠杀活动，他如今是印尼最大的准军事组织Pemuda Pancasila的元老人物。Anwar和他的朋友接受导演的邀请，在镜头前重新演绎当年他们是如何处死那些“共产党人”的，他们通过拍摄电影的方式，重现了当年的场景，再次拿起了那些沾满鲜血的用来勒死人的铁丝。Anwar讲述了他的故事，其中就包含着他年轻时候对美国黑帮电影的喜爱，而他所属的准军事组织Pemuda Pancasila虽然是维护国家安全的力量，恰恰也被人视为印尼最大的黑帮......	http://movie.douban.com/subject/11538029/	
京生	2011	纪录片	中国大陆	240	9.1	151	　　这是一部奇特的作品。 一个奇特的地方，一群奇特的人，一堆奇特的遭遇。　　导演用了6年的时光，深入位于北京城中一个卑微的村落——S访村。她凭借手中的一台DV，与一群怀揣状纸来自天南海北的S访人展开心灵对话，在有限的空间里构建出了一个既鲜为人知，又与我们的生存息息相关的真实世界。     片名《京生》取自片中主人公的名字，她出生于母亲老郝来京S访的路上，从此，陪同母亲在京S访长达三十多年。影片讲述了以京生和她的母亲为代表的一群卑微的小人物们的独特遭遇和内心挣扎。影片从S访村的故事开始，摆脱个案，超越抱怨，讲出了所有爬行着的人的命运。全片摒弃色彩，大胆使用黑白影像，取景沉稳有力，节奏沉缓却富于张力。　　导演以一个艺术家及公共知识分子的使命感和悲悯情怀，从容展现了中国当代社会的无奈现状和变革时代的复杂人性，既有冷静而客观的观察，同时又饱含着感同身受的真情实感 。...	http://movie.douban.com/subject/6798389/	
三生三世 聂华苓 三生三世 聶華苓	2012	纪录片/传记/历史	台湾	98	8.6	735	　　人稱「世界文學組織之母」的聶華苓是20世紀華人文學界最重要的推手，白先勇、林懷民、蔣勳，以及諾貝爾文學獎得主莫言，香港作家李怡、董啟章、鍾玲、潘耀明都曾是她家客廳的座上客。　　現年八十七歲的聶華苓生於中國武漢，1949年與家人逃到台灣，後因編輯【自由中國】受白色恐怖牽連，之後赴美與丈夫 Paul Engle創辦影響力龐大的愛荷華大學「國際寫作計畫」。通過他們的「國際寫作計劃」，世界各地作家越過意識形態聚集一堂。1979年，大陸、台灣和香港的作家隔絕三十載，首次相見於愛荷華。　　聶華苓曾自喻為「一棵樹，根在大陸，幹在臺灣，枝葉在愛荷華。」香港導演陳安琪花三年時間、往來兩岸三地與美國，拍攝紀錄片《三生三世聶華苓》。聶華苓的一生，恍如一段三生三世的飄泊旅行，交織出了當代海外傑出華人作家的清晰身影與美麗，也刻劃了她和詩人伴侶保羅．安格爾至死不渝的堅定情感。	http://movie.douban.com/subject/10521701/	
他们在岛屿写作：化城再来人 他們在島嶼寫作：化城再來人	2011	纪录片	台湾	163	8.9	1145	　　庄周梦蝶，无有虚实。诗人在红尘中梦想脱俗，于露电里捕捉永恒。　　《化城再来人》借用佛经典故，以周梦蝶的一天隐喻其一生中的风景，从日常中穿插映射其思维、修行、写作，试图重现昔年武昌街气氛、书摊的孤独国，追索病痛带来的改变与启发、几次生命里的流徙与意义，最后具现为那不负如来不 负卿的悟与情。	http://movie.douban.com/subject/5969389/	
他们在岛屿写作：寻找背海的人 他們在島嶼寫作：尋找背海的人	2011	纪录片	台湾	103	8.6	1026	　　每一夜，小说家和他自己搏斗，在斗室内，像挖掘壕沟那样地起运着胸膛内的土……　　《寻找背海的人》以年轻小说家寻觅的踪迹，串起王文兴的文学生涯。图书馆内密排的书架，校园参差的花树与歧路，对艺术的敏锐感受和一己之见，犹如雕凿精神的枣核那样，精工地将情思翻译为记号，再翻译为文字。王文兴展现了一个信守文字信仰、珍重对待写作、以缓慢换取深刻的文学身影。	http://movie.douban.com/subject/5969394/	
他们在岛屿写作：两地 他們在島嶼寫作：兩地	2011	纪录片	台湾	55	8.2	769	　　北京城南的英子，到了台北城南，变成文坛不可或缺的“林先生”。　　《两地》从林海音“双乡”的特殊身份切入，随着女儿夏祖丽娓娓道来的声线，走入她的书桌、生活圈、编辑台，特殊年代里的风声鹤唳与担当，以及那一块奋力开拓的纯文学园圃。也因为性格与文字里的广大与亲切，林海音的文学作品跨越时空，成为两岸人共有的阅读记忆。她是写作者的朋友，更是战后台湾文学从襁褓到成熟，那无私勇敢的母亲。	http://movie.douban.com/subject/5969393/	
海洋巨物 Ocean Giants	2011	纪录片	英国	-9999	9.3	129	　　长久以来，人们一直在怀疑宇宙中是否存在其他的智慧生命形式。然后，为什么我们不首先在我们的海洋里找寻一下呢？鲸鱼和海豚，同人类一样有着巨大的大脑，善于学习新的行为，拥有自己的社交语言。我们渴望了解，它们的思想与人类真的很接近吗？在巴哈马从事相关研究的丹尼斯赫青教授相信她即将找到问题的答案，她坚信五年内她将可以与野生海豚进行无缝交流	http://movie.douban.com/subject/6974539/	
狂野阿拉伯 Wild Arabia	2013	纪录片/冒险	英国	-9999	9.0	310	　　Few places on earth evoke more mystery and romance than Arabia. This enters the forbidding wilderness and reveals a magical cast of characters. From the snow-white oryx that inspired the myth of the unicorn to the long-legged jerboa leaping ten times its own body length through the star-filled Arabian nights. Horned vipers hunt glow-in-the-dark scorpions, while Bedouin nomads r...	http://movie.douban.com/subject/21423118/	
缅甸起义：看不到的真相 Burma VJ: Reporter i et lukket land	2008	惊悚/纪录片/历史/犯罪	丹麦 / 瑞典 / 挪威 / 英国 / 美国 / 德国 / 荷兰 / 以色列 / 西班牙 / 比利时 / 加拿大	84	9.0	1207	　　【内容简介】　　在缅甸，有这样一群记者，他们勇敢，无畏对自身生命的威胁，手持小型摄影机，记录并揭露了这个国家残暴的政权。　　2007年，经历了数个年代的沉默，向来温和的佛教僧侣发起了大规模对抗政府的起义，超过10万民众冲向街头，反抗已经掌控这个国家逾40年的暴力独裁，这成了当时全球的焦点。顿时，外国报道团队被禁止入境，网络也遭到封锁，缅甸成为了一个封闭的国家。通过缅甸民主之声（一个非营利性的新闻组织，是目前少数几个还能释出当地新闻的管道之一）拍摄下来的摇摇晃晃的镜头，电影人安德烈•奥斯特嘉德将这段历史事件的记录者——缅甸新闻工作者彼时的努力与坚持，带到观众眼前。　　缅甸记者的战略指挥，一位27岁，代号为“约书亚”的小伙子，在泰国某秘密地点监督着记者们一系列的活动。他通过电话与那些勇敢的摄影记者联系，然后将这些视频通过缅泰边境偷运至泰国，接着船运至挪威，最后...	http://movie.douban.com/subject/3397700/	
人生七年1 Seven Up!	1964	纪录片/短片/传记	英国	39	9.1	1743	　　本部纪录片是导演迈克尔·艾普特从1964年开始拍摄的纪录片系列的第一部。迈克尔·艾普特在1964年为英国BBC电视台拍摄了记录片《7 Up》，采访来自英国不同阶层的十四个七岁的小孩子，他们有的来自孤儿院有的是上层社会的小孩。此后每隔七年，艾普特都会重新采访当年的这些孩子，倾听他们的梦想，畅谈他们的生活。人生的轮回从这十四个七岁的孩子真实生活开始，他们天真无邪的脸上写满对生活的憧憬和渴望。“七岁看老”，在这童言无忌的问与答中，人生七年又七年，震撼上演。　　1964年，导演迈克尔·艾普特首拍此纪录片时，还是只是个助手。此后在他的不断努力下，积累了丰富的拍摄经验，成为知名导演。	http://movie.douban.com/subject/2123439/	
人生七年2 7 Plus Seven	1970	纪录片/传记	英国	52	9.1	988	　　本部纪录片是导演迈克尔·艾普特从1964年开始拍摄的纪录片系列的第二部。迈克尔·艾普特在1964年为英国BBC电视台拍摄了记录片《7 Up》，采访来自英国不同阶层的十四个七岁的小孩子，他们有的来自孤儿院有的是上层社会的小孩。此后每隔七年，艾普特都会重新采访当年的这些孩子，倾听他们的梦想，畅谈他们的生活。时隔七年，当年这些天真无邪的孩子们，刚刚长大。他们初见世界还是懵懂的，面对镜头仍然稚嫩青涩。这花季年华，才是漫漫人生的第一步。　　导演迈克尔·艾普特时隔七年，再次把摄像机对准这十几位孩子的生活，决心拍摄一部英国人生活和西方人文的纪录片。	http://movie.douban.com/subject/2123440/	
人生七年3 21 Up	1977	纪录片/传记	英国	100	9.0	645	　　本部纪录片是导演迈克尔·艾普特从1964年开始拍摄的纪录片系列的第三部。迈克尔·艾普特在1964年为英国BBC电视台拍摄了记录片《7 Up》，采访来自英国不同阶层的十四个七岁的小孩子，他们有的来自孤儿院有的是上层社会的小孩。此后每隔七年，艾普特都会重新采访当年的这些孩子，倾听他们的梦想，畅谈他们的生活。正值青春年华的孩子们，已经长到21岁。当年导演的初衷是批判英国社会阶层的不可改变性，穷人的孩子还是穷人，富人的孩子还是富人。在时隔数十年之后，这一点初得印证。可生命的无偿又岂会就此止步。　　本部系列纪录片，跨越半个世纪，史无前例地记录了真人版的“人生七年”。	http://movie.douban.com/subject/2283680/	
人生七年4 28 Up	1984	纪录片/传记	英国	136	9.1	438	　　本部纪录片是导演迈克尔·艾普特从1964年开始拍摄的纪录片系列的第四部。迈克尔·艾普特在1964年为英国BBC电视台拍摄了记录片《7 Up》，采访来自英国不同阶层的十四个七岁的小孩子，他们有的来自孤儿院有的是上层社会的小孩。此后每隔七年，艾普特都会重新采访当年的这些孩子 ，倾听他们的梦想，畅谈他们的生活。此时，他们已经长到28岁，正处在一生中的黄金年华。有的结婚生子，有的正在打拼自己的事业。儿时的梦想正逐步转为现实的面目，漫漫人生的旅途才刚刚开始。　　2012年，导演迈克尔·艾普特推出《人生七载之当我五十六》，继续忠实的记录着这些年过半百的“孩童们”，生活中的点点滴滴。	http://movie.douban.com/subject/1482936/	
人生七年5 35 Up	1991	纪录片/传记	英国	123	9.1	415	　　本部纪录片是导演迈克尔·艾普特从1964年开始拍摄的纪录片系列的第五部。迈克尔·艾普特在1964年为英国BBC电视台拍摄了记录片《7 Up》，采访来自英国不同阶层的十四个七岁的小孩子，他们有的来自孤儿院有的是上层社会的小孩。此后每隔七年，艾普特都会重新采访当年的这些孩子，倾听他们的梦想，畅谈他们的生活。这时他们都已经是35岁的中年人，成家立业。艾普特再次追踪他们的生活，记录他们的事业是否成功，爱情是否美满。七年，岁月的痕迹已悄然爬上每一个人的面庞。　　再次时隔七年，命运之手是垂青于谁，还是跟我们所有人，开了场偌大的玩笑。	http://movie.douban.com/subject/1778460/	
人生七年6 42 Up	1998	纪录片/传记	英国	139	9.1	352	　　本部纪录片是导演迈克尔·艾普特从1964年开始拍摄的纪录片系列的第六部。迈克尔·艾普特在1964年为英国BBC电视台拍摄了记录片《7 Up》，采访来自英国不同阶层的十四个七岁的小孩子，他们有的来自孤儿院，有的是上层社会的小孩。此后每隔七年，艾普特都会重新采访当年的这些孩子，倾听他们的梦想，畅谈他们的生活。　　42岁，他们的事业是失败还是成功；他们的婚姻是美满还是摇摇欲坠。他们其中有的正在处理父母过世的问题，有的正在处理自己孩子长大的问题。其中一个现在是独自带着孩子的单身妈妈，一个再婚。林恩和杰基正面临健康问题。尼尔也在42岁的时候，经历一次友情的考验……他们都需要脚踏实地的清醒面对生活。	http://movie.douban.com/subject/1778459/	
人生七年7 49 Up	2005	纪录片	英国	180	8.8	1816	　　本部纪录片是导演迈克尔·艾普特从1964年开始拍摄的纪录片系列的第七部。迈克尔·艾普特在1964年为英国BBC电视台拍摄了记录片《7 Up》，采访来自英国不同阶层的十四个七岁的小孩子，他们有的来自孤儿院，有的是上层社会的小孩。此后每隔七年，艾普特都会重新采访当年的这些孩子，倾听他们的梦想，畅谈他们的生活。四十九岁知天命，看尽岁月流逝，看穿沧海桑年。本片综合了被访者七岁、十四岁、二十一岁、二十八岁、三十五岁以及四十二岁多年的访问精华。　　本季《人生七年》荣获2006年英国电影学院奖和金卫星奖提名。	http://movie.douban.com/subject/1847588/	
人生七年8 56 Up	2012	纪录片	英国	144	9.2	2666	　　本部纪录片是导演迈克尔·艾普特从1964年开始拍摄的纪录片系列的第八部。迈克尔·艾普特在1964年为英国BBC电视台拍摄了记录片《7 Up》，采访来自英国不同阶层的十四个七岁的小孩子，他们有的来自孤儿院，有的是上层社会的小孩。此后每隔七年，艾普特都会重新采访当年的这些孩子，倾听他们的梦想，畅谈他们的生活。人生行至大半，岁月蹉跎。是悔恨感慨，还是遥想当年风华正茂。年华终有老去的一天，可生活仍将继续。　　陪伴这些孩子度过半个世纪的导演迈克尔•艾普特也已两鬓斑白，《人生七年》还将继续。	http://movie.douban.com/subject/10748226/	
石玫瑰再临 The Stone Roses: Made of Stone	2013	纪录片	英国	97	9.0	791	　　猴王，一个没智商但是有点情商的弱智，四块二，一个没智商也没什么情商，唯一只有一点机修智商的机修工，和社会正常青年mani以及fooking legend的reni组成了一个乐队叫做the stone roses. 四块二这个人喜欢追龙的，他觉得他追龙追的好，每天早上十一点起床追龙没有问题，但是猴王觉得他变了，不是原来的他了，四块二也觉得猴王变了，总之很他妈的烦的，就是乐队解散了。mani跟了bobby了，reni回去隐居了，四块二和猴王去solo了，然后四块二这个人很厉害的，他去solo，他歌唱的很好听的，就跟鱼刺卡到喉咙，拉屎拉不出来一样的好听。他感悟啊，释怀啊，他给猴王写小纸条送麦丽素啊，然后mani的妈死了乐队就重组了。　　这个电影的类别写音乐纪录片有点不太对，应该是浪漫爱情轻喜。	http://movie.douban.com/subject/7056420/	
一首摇滚上月球 一首搖滾上月球	2013	纪录片	台湾	115	8.7	552	　　本片真实记录了一支叫“睏熊霸”的摇滚乐团，为登上海洋音乐祭的表演舞台而作出的前期准备和巨大努力。这个乐团由六位热血老爸组成，平均年龄超过52岁，有着不同的家庭背景和职业，他们之中有人从来不曾接触过乐器，而这样一支乐团，竟想与众多优秀乐团竞争，站在音乐祭的舞台上！　　六个老爸之所以聚集在一起，是因为他们家中都有罹患罕见疾病的孩子，为了心中某种不灭的信念，老爸们付出最大的努力，周旋于工作、排练、照顾家人之间。随着音乐祭的临近，老爸们能否凭借着热血的摇滚，冲上月球？	http://movie.douban.com/subject/24704954/	
拔一条河 拔一條河	2012	纪录片	台湾	100	8.9	123	　　导演杨力州花了超过一年时间住在甲仙，拍出这部他自称创作生涯中最复杂的作品。在这个饱受八八风灾摧残的山中小镇，孩子们努力为拔河队争取荣誉，试图唤回被摧折后的信心与勇气；妈妈们则用一道道异国美食，凝聚留在故乡打拚的坚实力量。被台风冲垮的甲仙大桥，不到一年时间就修复成亮丽新景；但甲仙人心中的痛，却不知何时才能真正抚平。这部新作不仅记录了他们努力奋起的心路历程，也拍下这些新娘妈妈们生命中第一次的婚纱照片……	http://movie.douban.com/subject/19971620/	
抢救切尔诺贝利 The Battle of Chernobyl	2006	纪录片	英国	93	9.2	10345	　　1986年4月26日凌晨的1点23分，随着前苏联乌克兰地区传来的一声爆炸，彩色的火焰冲上千米高空，切尔诺贝利核电站发生了爆炸，这也是人类和平是用核能以来最大的一次惨剧。事故造成31人当场死亡，爆炸后的核能严重泄漏导致上万居民送命或致病，至今仍有被放射线影响而导致畸形的胎儿出生。当日抢险的消防士兵更是用生命和健康为代价避免了核电站的二次爆炸。但令人震惊的是，前苏联政府选择了将事故消息打压保密，而全然不顾此时的辐射尘已经随着大气外泄到了东欧地区甚至北欧的斯堪的纳维亚半岛地区……　　纪录片借用当时摄影师拍摄的照片以及档案影片，重映了当年在切尔诺贝利事故现场紧张进行的大作战，每个抢救阶段一一再现。	http://movie.douban.com/subject/3057368/	
看不见的战争 The War You Don&#39;t See	2010	纪录片	英国	94	9.0	2915	　　2007年伊拉克首都巴格达，影片从一次从未报道过的阿帕奇武装直升机攻击事件开始。十字靶心忠实地记录下了这场枪击路透社记者及误伤平民的始末。影片追溯历史，用嵌入式的独立报道，记录下了第一次世界大战中惨绝人寰的破坏性战争伤害，以及美国参与的越南、伊拉克、阿富汗等战争。影片不 仅展示了从战地记者手中获得的第一手资料，还采访了维基解密的创始人和首席编辑朱利安·阿桑奇，让观众们看到了官媒所报道的战争背后，那场“看不见的战争”。　　这部由英国记者约翰·皮尔格执导并编剧的纪录片《看不见的战争》，是他的《民主之战》后又一部揭露美国侵略军在伊拉克对平民百姓进行屠杀，并谴责世界主流媒体进行虚假报道的力作。约翰•皮尔格是一位优秀的战地记者、作家与制片家，自1970年开始了他的“世界时事系列”电影生涯。四十年来，他一直致力于披露战争背后隐秘的真相，挑战着英国独立电视台ITV和...	http://movie.douban.com/subject/5423362/	
水下印象 Impressionen unter Wasser	2002	纪录片	德国	45	8.7	468	　　这是Riefenstahl最新最动人的水下体验。电影历时近30年完成，编辑了自1974年到2000年Riefenstahl　　　　制作的关于印度洋中两千多种深水生物的脚本。她心中的愿望是通过这些影像让观众知道如果不能妥善保　　　　护珊瑚礁，他们失去的将是什么。	http://movie.douban.com/subject/1419203/	
皮克斯的故事 The Pixar Story	2007	纪录片	美国		9.0	3246	　　这部花费6年时间制作而成的纪录片，聚焦了动画业巨头皮克斯的发展史。片中主要采取的是面对面采访的形式，还穿插了皮克斯创作的一些顽皮形象的短片，其中更包括拉塞特获得学生奥斯卡奖的短片作品。众多被访问者——从汤姆·汉克斯、蒂姆·艾伦、比利·克里斯托到乔治·卢卡斯以及众位皮克斯的动画制作人——都尽可能详尽地解释了每部影片要达到特定艺术效果所需的技术条件。	http://movie.douban.com/subject/2223463/	
灌丛下的生命 Life in the Undergrowth	2005		英国	-9999	9.4	321	　　这个节目是英国有名的自然节目主持人David Attenborough刚完成的新系列：Life in the Undergrowth：灌丛下的生命，专门介绍地球上的无脊椎动物的。精彩绝伦……　　欢迎来到怪异、凶猛但出奇美丽的无脊椎昆虫世界！　　与大卫艾登堡禄爵士一起进行开创性的探索，　　瞭解一个壮观、不受重视但却充斥人类周遭的迷你宇宙。　　这裡不只有昆虫与甲虫，还有奇特的蝉、会发出萤光的蠕虫、　　吐丝技巧复杂的蜘蛛，以及专吃蝙蝠的蜈蚣，　　更别说是其他各种奇妙的生物与私密惊人的行为。　　多亏了照明、光学与电脑化机械操控的科技革新，　　我们终於能以这些奇妙生物的观点出发，瞭解这个热闹的超级有机体世界。　　这些生物或许渺小，但牠们的生活机制却惊人地庞大！　　第一集：大举登陆　　第二集：翩翩飞舞　　第三集：吐丝织网　　第四集：相互依存　　第...	http://movie.douban.com/subject/1878011/	
鸟瞰地球 La Terre vue du ciel	2004	纪录片	法国		9.3	593	　　《鸟瞰地球》是法国著名的航空摄影师雅安·阿瑟斯-伯特兰所拍摄的系列影片，共四部（CCTV-电影频道曾经播出过后两部）。本片将镜头聚焦在了全球自然资源的可持续发展上，网罗了一群来自世界各地的、正在为大自然的和谐而努力着的环保先锋者们，展示并褒扬他们所做出的巨大贡献的同时，意在号召全人类发起自省，保护我们共同的 家园——地球。当然，影片一如既往地给观众呈现出了全球各地的一幅幅美丽壮观的自然景象。	http://movie.douban.com/subject/3195735/	
一路向南	2010	纪录片	中国大陆	-9999	9.3	4201	　　2009年，一部《搭车去柏林》见证了穿越中国、中亚和欧洲，直达德国柏林的艰辛浪漫的旅程。2010年9月，美籍青年谷岳（谷岳 Kyle Johnson）再次出发，只身搭上集装箱巨轮横渡太平洋，与纪录片导演刘畅（刘畅 Chang Liu）在阿拉斯加会合，开始了他们的美洲穿越计划。他们将从北极圈出发，以阿根廷最南端为目的地。三万三千公里的旅程，不同文化中的各种奇特职业。一位环球旅行者，一位纪录片导演，将用最小的低碳足迹完成世界上最长的陆地穿越。　　纪录片同名著作《一路向南：到世界的边缘》也于2011年6月出版。	http://movie.douban.com/subject/5413765/	
